1, Thang, Male, 1022012, 1831234, 23425, 24
85, Le Quoc Dinh, Gay, 10331119, 3567353673, 12/01/2077, 48
60, Le Quoc Dinh, GayLo, 10770059, 2333425235, 01/02/1963, 132
5, Le Quang Thang, Male, 10221044, 2352352323, 24/04/2004, 24
15, Le Quang Thang, Female, 10111037, 4646845888, 02/08/2034, 9
2, Le Duy Quoc Thang, Female, 10221058, 3467248025, 23/05/2001, 12
23, Nguyen Tran Duy Nhat, Female, 10238033, 9051034023, 04/05/1980, 2
57, Nguyen Quang Duy, Male, 10221033, 5530528003, 23/08/2002, 60
33, Le Quoc Hung Gay Lo, Gay, 10232002, 3096579303, 16/02/2005, 24
77, Doan Van Hau, Female, 9322033, 234322352, 05/07/2008, 6
100, Le Quoc Binh, Gay, 20393029, 209400293, 03/22/1993, 36
37, Tran Quoc Toan, Male, 77203000060, 5530528003, 30/04/1667, 3
48, Pham Dan Tam, Female, 1045345, 235623, 255623, 24
45, Le Quoc Hung, Male, 22032923, 294839922, 02/09/2003, 60
34, Trai, Male, 2003992, 30293022, 23/09/2001, 12
35, Hoang, Male, 234233, 2342300233, 09/08/1998, 24
30, Le Quoc Hung Moi, Male, 2029322, 302983492, 23/23/2320, 2
